nid,vid,title,author_uid,spec_type,display_name,marketing_tagline,featured_image,elevation,floorplan,community,mls_number,price,marketing_flag,date_sold,Incentive,Incentive (short),hers_index_score,address,city,state,zip_code,latitude,longitude,body,content_image,square_feet,bedrooms,full_baths,half_baths,floors,garage(s),master,downloadable_brochure,property_video,marketing_images,school(s),highlight _news,highlight_news_background_color,featured_image_alt_text,featured_image_title_text,content_image_alt_text,content_image_title_text,status,post_date,updated_date,promoted_to_front_page,sticky,source,path
3731,3740,822 Frogmore Way,1795,Move-In Ready Homes,Bentgrass B,High-Tech Smart Home,24588,Bentgrass B,Bentgrass - all brick,Drayton Hall,,197500,Hot Deal,2019-06-12 0:00:00,,,,822 Frogmore Way,West Columbia,SC,29172,33.9,-81.06,,,2272,5,3,,2,2,,,,,,,,,,,,1,1560344484,1560344484,0,0,node/3731,/properties/822-frogmore-way
3730,3739,818 Frogmore Way,1795,Move-In Ready Homes,,"High-Tech, Smart Home Great Use of Space",24587,Regency A,Regency,Drayton Hall,,157500,Normal,,,,,818 Frogmore Way,West Columbia,SC,29172,33.9,-81.06,,,1355,3,2,1,2,2,,,,,,,,,,,,1,1560344142,1560344142,0,0,node/3730,/properties/818-frogmore-way
3729,3738,1074 Acacia Lane,1023,Move-In Ready Homes,1074 Acacia Lane,,24586,Gaston D,Gaston,Summit Hills,473212,220331,Normal,2019-06-11 0:00:00,,,,1074 Acacia Lane,Columbia,SC,29229,34.16,-80.9,,,2434,4,2,1,2,2,Up,,,24596|24597|24598|24599|24600|24601|24602|24603|24604|24605|24606|24607|24608|24609|24610|24611|24612|24613|24614|24615|24616|24617|24618|24619|24620|24622|24623|24624|24625|24626,"Rice Creek Elementary School,Kelly Mill Middle School,Ridgeview High School",,,,,,,1,1560286479,1560360748,0,0,node/3729,/properties/1074-acacia-lane
3728,3737,1288 Chestnut Road,57,Move-In Ready Homes,1288 Chestnut Road,,24583,Porter F,Porter,Chestnut Grove,,235375,Now Available,,,,,1288 Chestnut Road,Elgin,SC,29045,34.2,-80.79,,,2342,4,2,1,2,2,Up,,,,"Blaney Elementary School,Leslie M Stover Middle School,Lugoff-Elgin High School",,,,,,,1,1560279683,1560361665,0,0,node/3728,/properties/1288-chestnut-road
3727,3736,1284 Chestnut Road,57,Move-In Ready Homes,1284 Chestnut Road,,24582,Bradley A,Bradley I,Chestnut Grove,,270000,Now Available,,,,,1284 Chestnut Road,Elgin,SC,29045,34.2,-80.79,<p>    </p>,,3040,4,3,,2,2,Up,,,,,,,,,,,1,1560279488,1560361685,0,0,node/3727,/properties/1284-chestnut-road
3726,3735,69 Mayapple Dr,68,Move-In Ready Homes,,"Bentgrass A 5 bed 3 full bath 2 Story 2 Car Garage Beautiful open floor plan perfect for entertaining! 5th bedroom & 3rd full bath downstairs. Upstairs features Master Suite, 3 bedrooms, full bath, Loft & laundry.",24581,Bentgrass A,Bentgrass - all brick,Persimmon Village,,199909,Normal,,,,,69 Mayapple Dr,Lexington,SC,29073,33.94,-81.21,,,2272,5,3,,2,2,,,,,,,,,,,,1,1560199978,1560199978,0,0,node/3726,/properties/69-mayapple-dr
3725,3734,54 Mayapple Dr,68,Move-In Ready Homes,,"Bentgrass A 5 bed 3 full bath 2 Story 2 Car Garage Beautiful open floor plan perfect for entertaining! 5th bedroom & 3rd full bath downstairs. Upstairs features Master Suite, 3 bedrooms, full bath, Loft & laundry.",24580,Bentgrass A,Bentgrass - all brick,Persimmon Village,,201360,Normal,,,,,54 Mayapple Dr,Lexington,SC,29073,33.94,-81.21,,,2272,5,3,,2,2,,,,,,,,,,,,1,1560199740,1560199740,0,0,node/3725,/properties/54-mayapple-dr
3724,3733,352 Oristo Ridge Way,68,Move-In Ready Homes,,"McClean C 4 bed 2.5 bath 2 Story 2 Car Garage, Beautiful open floor plan with a large kitchen island, huge master with his & hers walk in closets, laundry upstairs",24577,McClean C,McClean,Timmons Pond,,210202,Now Available,,,,,352 Oristo Ridge Way,West Columbia,SC,29170,33.96,-81.15,,,1990,4,2,1,2,2,,,,,,,,,,,,1,1560195154,1560195154,0,0,node/3724,/properties/352-oristo-ridge-way
3722,3731,204 Bromley Fold Lane,212,Move-In Ready Homes,,Master down!,24563,Hillcrest A6,Hillcrest,Bessinger,,211564,Normal,,"<p>$2,000 Mad Money!</p>","$2,000 mad money!!",,,simpsonville,SC,29681,34.72,-82.28,,,1917,4,2,1,2,1,,,,,,,,,,,,1,1560027064,1560027064,0,0,node/3722,/properties/204-bromley-fold-lane
3721,3730,634 Teaberry Drive (Lot 119),215,Move-In Ready Homes,,,24936,Harper B,Harper,Hawthorne Ridge,,202233,Now Available,,,,,634 Teaberry Drive,Columbia,SC,29229,34.17,-80.92,,,1861,3,2,1,2,2,,,,,,,,,,,,1,1560022753,1561987733,0,0,node/3721,/properties/634-teaberry-drive-lot-119
